"as_of","score_start","score_end","baseline_ic","tuned_ic","ic_diff","ic_winner","baseline_portfolio_return_pct","baseline_benchmark_return_pct","baseline_excess_return_pct","tuned_portfolio_return_pct","tuned_benchmark_return_pct","tuned_excess_return_pct","excess_diff_pct","portfolio_winner"
"20250613","20250616","20250619","0.0048","-0.0286","-0.0334","BASELINE","-0.473","-1.105","0.632","1.736","-1.105","2.841","2.209","TUNED"
"20250630","20250701","20250704","0.0918","0.0518","-0.04","BASELINE","1.258","-0.067","1.325","2.367","-0.067","2.434","1.109","TUNED"
"20250728","20250729","20250801","0.02","0.052","0.032","TUNED","-0.86","-1.743","0.883","-2.394","-1.743","-0.651","-1.534","BASELINE"
"20250818","20250819","20250822","0.096","0.1008","0.0048","TUNED","1.209","2.32","-1.11","1.697","2.32","-0.623","0.487","TUNED"
"20250922","20250923","20250926","0.1386","0.1228","-0.0158","BASELINE","-2.052","0.218","-2.27","0.64","0.218","0.422","2.692","TUNED"
"20251010","20251013","20251017","0.0921","0.095","0.0029","TUNED","-7.849","-5.166","-2.683","-5.168","-5.166","-0.002","2.681","TUNED"
"20251111","20251112","20251118","0.0039","0.0356","0.0317","TUNED","-3.27","-1.928","-1.342","-3.065","-1.928","-1.137","0.205","TUNED"
"20251218","20251219","20251224","-0.0012","-0.0291","-0.0279","BASELINE","3.431","3.538","-0.107","3.69","3.538","0.153","0.26","TUNED"
"20260126","20260127","20260130","0.0449","0.0216","-0.0233","BASELINE","-2.056","-1.601","-0.455","-2.27","-1.601","-0.669","-0.214","BASELINE"
"20260202","20260203","20260206","-0.0438","-0.0558","-0.012","BASELINE","0.956","1.361","-0.404","2.84","1.361","1.479","1.883","TUNED"
"20260309","20260310","20260313","0.0378","0.0319","-0.0059","BASELINE","-1.796","-0.479","-1.317","-2.673","-0.479","-2.194","-0.877","BASELINE"
"20260410","20260413","20260417","0.0753","0.0817","0.00639999999999999","TUNED","5.48","3.072","2.408","6.841","3.072","3.769","1.361","TUNED"
"20260421","20260422","20260430","0.2011","0.1676","-0.0335","BASELINE","4.151","0.957","3.193","3.736","0.957","2.778","-0.415","BASELINE"
