param,rank,config_name,value,ic
n_estimators,1,n_estimators_200,200.0,0.17782566100006095
n_estimators,2,baseline,400.0,0.17782566100006095
n_estimators,3,n_estimators_600,600.0,0.17782566100006095
n_estimators,4,n_estimators_500,500.0,0.17782566100006095
n_estimators,5,n_estimators_300,300.0,0.17782566100006095
max_depth,1,max_depth_3,3.0,0.19912466656758343
max_depth,2,baseline,5.0,0.17782566100006095
max_depth,3,max_depth_6,6.0,0.16970375785246397
max_depth,4,max_depth_7,7.0,0.16698855005098906
max_depth,5,max_depth_4,4.0,0.16387818569896379
learning_rate,1,learning_rate_0.03,0.03,0.19887494380156726
learning_rate,2,learning_rate_0.04,0.04,0.1853804935484617
learning_rate,3,baseline,0.05,0.17782566100006095
learning_rate,4,learning_rate_0.07,0.07,0.17782482751563963
learning_rate,5,learning_rate_0.06,0.06,0.17782482751563963
subsample,1,subsample_0.7,0.7,0.1824278699522144
subsample,2,baseline,0.8,0.17782566100006095
subsample,3,subsample_0.9,0.9,0.1744868500757551
subsample,4,subsample_1.0,1.0,0.15999254968609716
subsample,5,subsample_0.6,0.6,0.15375070463475532
colsample_bytree,1,colsample_bytree_0.7,0.7,0.17934542423118677
colsample_bytree,2,baseline,0.8,0.17782566100006095
colsample_bytree,3,colsample_bytree_0.9,0.9,0.17586822228019267
colsample_bytree,4,colsample_bytree_1.0,1.0,0.16655105565925254
colsample_bytree,5,colsample_bytree_0.6,0.6,0.13426656634499023
min_child_weight,1,min_child_weight_15,15.0,0.18644206952809136
min_child_weight,2,min_child_weight_20,20.0,0.17842373486323249
min_child_weight,3,min_child_weight_5,5.0,0.17804904992288492
min_child_weight,4,baseline,10.0,0.17782566100006095
min_child_weight,5,min_child_weight_7,7.0,0.1776787583573069
reg_lambda,1,reg_lambda_2.0,2.0,0.1780386631931561
reg_lambda,2,reg_lambda_0.8,0.8,0.17782566100006095
reg_lambda,3,reg_lambda_0.5,0.5,0.17782566100006095
reg_lambda,4,baseline,1.0,0.17782566100006095
reg_lambda,5,reg_lambda_5.0,5.0,0.17775936452358201
