name,ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
max_depth_3,0.19912466656758343,0.569361686706543,400,3,0.05,0.8,0.8,10,1.0
learning_rate_0.03,0.19887494380156726,0.8516592979431152,400,5,0.03,0.8,0.8,10,1.0
learning_rate_0.005,0.1960801486881436,0.8494741916656494,400,5,0.005,0.8,0.8,10,1.0
learning_rate_0.01,0.19423466574438442,0.5310301780700684,400,5,0.01,0.8,0.8,10,1.0
learning_rate_0.02,0.18920401901943182,0.5809416770935059,400,5,0.02,0.8,0.8,10,1.0
min_child_weight_30,0.18713770368528646,0.32126331329345703,400,5,0.05,0.8,0.8,30,1.0
min_child_weight_25,0.18678626374522492,0.3451418876647949,400,5,0.05,0.8,0.8,25,1.0
learning_rate_0.015,0.18671961016619276,0.4198884963989258,400,5,0.015,0.8,0.8,10,1.0
min_child_weight_27,0.1861976103184459,0.3221919536590576,400,5,0.05,0.8,0.8,27,1.0
learning_rate_0.04,0.1853804935484617,0.3308398723602295,400,5,0.04,0.8,0.8,10,1.0
subsample_0.7,0.1824278699522144,0.6826205253601074,400,5,0.05,0.7,0.8,10,1.0
learning_rate_0.025,0.18112854389674898,0.4255688190460205,400,5,0.025,0.8,0.8,10,1.0
subsample_0.75,0.1793901963737931,0.5274298191070557,400,5,0.05,0.75,0.8,10,1.0
colsample_bytree_0.7,0.17934542423118677,0.504514217376709,400,5,0.05,0.8,0.7,10,1.0
colsample_bytree_0.65,0.17934542423118677,0.4795846939086914,400,5,0.05,0.8,0.65,10,1.0
reg_lambda_2.0,0.1780386631931561,0.3541738986968994,400,5,0.05,0.8,0.8,10,2.0
reg_lambda_1.5,0.17785009782047245,0.32050466537475586,400,5,0.05,0.8,0.8,10,1.5
colsample_bytree_0.8,0.17782566100006095,0.33681368827819824,400,5,0.05,0.8,0.8,10,1.0
subsample_0.8,0.17782566100006095,0.3510551452636719,400,5,0.05,0.8,0.8,10,1.0
baseline,0.17782566100006095,1.602386713027954,400,5,0.05,0.8,0.8,10,1.0
n_estimators_200,0.17782566100006095,0.380687952041626,200,5,0.05,0.8,0.8,10,1.0
n_estimators_500,0.17782566100006095,0.4371180534362793,500,5,0.05,0.8,0.8,10,1.0
n_estimators_300,0.17782566100006095,0.42675256729125977,300,5,0.05,0.8,0.8,10,1.0
n_estimators_600,0.17782566100006095,0.5602474212646484,600,5,0.05,0.8,0.8,10,1.0
reg_lambda_4.5,0.17775936452358201,0.3138587474822998,400,5,0.05,0.8,0.8,10,4.5
reg_lambda_5.0,0.17775936452358201,0.3717944622039795,400,5,0.05,0.8,0.8,10,5.0
reg_lambda_3.5,0.17766562840355557,0.3277401924133301,400,5,0.05,0.8,0.8,10,3.5
reg_lambda_4.0,0.1776639719549093,0.32975101470947266,400,5,0.05,0.8,0.8,10,4.0
colsample_bytree_0.75,0.17717201338982158,0.3612031936645508,400,5,0.05,0.8,0.75,10,1.0
reg_lambda_2.5,0.17696300288220052,0.3237283229827881,400,5,0.05,0.8,0.8,10,2.5
reg_lambda_3.0,0.17696300288220052,0.3463289737701416,400,5,0.05,0.8,0.8,10,3.0
subsample_0.65,0.17442848897981927,0.3287365436553955,400,5,0.05,0.65,0.8,10,1.0
learning_rate_0.035,0.17119573576035285,0.45851707458496094,400,5,0.035,0.8,0.8,10,1.0
max_depth_6,0.16970375785246397,0.4417884349822998,400,6,0.05,0.8,0.8,10,1.0
max_depth_7,0.16698855005098906,0.4837934970855713,400,7,0.05,0.8,0.8,10,1.0
max_depth_4,0.16387818569896379,0.5410056114196777,400,4,0.05,0.8,0.8,10,1.0
subsample_0.6,0.15375070463475532,0.43384385108947754,400,5,0.05,0.6,0.8,10,1.0
colsample_bytree_0.6,0.13426656634499023,0.3197946548461914,400,5,0.05,0.8,0.6,10,1.0
